127.0.0.1 - - [19/Feb/2024:15:43:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:43:33 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:45:08 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:46:29 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:47:14 +0900] "GET /helloSpringMVC/WEB-INF/classes/kr/ac/hansung/model/AttLecture.java HTTP/1.1" 404 901
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:47:27 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:49:02 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:15:49:18 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:01:22 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:07:34 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:07:50 +0900] "GET /helloSpringMVC/ HTTP/1.1" 404 826
